pH,CEC,phosphorus,potassium,calcium,magnesium,lime_index,Treatment
5.7,,52,87,840,94,66,1
6,7.3,48,136,904,144,69,1
5.8,7.1,34,115,834,169,69,1
6,4.5,55,97,644,125,70,1
6,6.1,56,145,925,128,70,1
5.7,7.7,31,107,816,109,68,1
5.7,7.4,59,86,832,75,68,1
6,6.9,43,144,806,153,69,1
6,7,37,134,837,150,69,1
6.2,8.8,50,163,1119,189,69,1
6.3,6.1,59,155,893,147,70,1
5.8,7.7,29,103,771,136,68,1
5.9,7.9,64,104,874,108,68,1
6.1,6.4,46,131,762,129,69,1
6,7.2,36,138,859,159,69,1
6.1,7.1,68,143,862,144,69,1
6.2,7.2,66,163,867,146,69,1
5.9,6.8,34,117,825,138,69,1
5.8,7.9,57,100,872,105,68,1
6.1,8.3,59,132,852,157,68,1
5.8,8.7,34,125,885,183,68,1
6.1,7.9,59,133,945,193,69,1
6.2,6.4,63,168,900,173,70,1
5.6,9.2,37,113,806,157,67,1
5.8,9.9,70,125,996,125,67,1
6.4,,41,126.5,716,112,,1
6.3,,24,109.5,800,172,,1
6.8,,,105.5,926.5,172,,1
6.8,,,139,758,152,,1
6.3,,25,92.5,716,144,,1
5.9,,49,75.5,842,92,,1
5.8,8.50013,42,145,1004,229,69,1
6,8.37449,29,148,1139,276,70,1
6.1,9.10949,54,148,1116,234,69,1
6.2,7.46551,39,164,1024,231,71,1
6.1,8.28039,33,136,1158,257,70,1
6,6.17808,48,126,891,168,70,1
6.2,8.1,46,163,976,195,69,1
6.7,7.5,37,163,1054,215,70,1
6.4,8.6,51,157,1073,196,69,1
6.8,7.2,39,163,1026,195,,1
6.5,7.3,42,141,1059,199,70,1
6.6,5.9,58,148,860,143,70,1
6.2,5.6,27,126,742,191,,1
6.4,6.7,20,137,868,243,,1
6.4,6.6,37,138,884,218,,1
6.5,5.8,23,130,768,199,,1
6.4,6.2,21,111,837,205,,1
6.4,4.6,35,105,625,140,,1
6.2,5.6,27,126,742,191,,1
6.4,6.7,20,137,868,243,,1
6.4,6.6,37,138,884,218,,1
6.5,5.8,23,130,768,199,,1
6.4,6.2,21,111,837,205,,1
6.4,4.6,35,105,625,140,,1
6.2,,29,91,937,215,,1
6.4,,20,95,883,242,,1
6.3,,39,112,986,242,,1
6.5,,22,95,852,232,,1
6.3,,22,76,788,211,,1
6.5,,33,74,692,197,,1
6.1,,37,118,799,193,68,1
6.2,,21,89,867,223,69,1
6.1,,44,106,880,210,68,1
6.3,,31,105,886,206,69,1
6.1,,25,81,865,200,68,1
6.3,,37,71,672,144,69,1
5.8,6.9,31,68,837,161,69,1
6,6.1,19,65,840,203,70,1
6.1,6.6,35,70,963,191,70,1
6.1,5.7,23,61,819,178,70,1
5.8,5.9,22,56,882,166,70,1
6.4,5.6,39,45,827,156,71,1
6,7.4,28,73,879,200,69,1
6.1,6.9,19,76,961,226,70,1
6,8.4,36,92,1014,232,69,1
6.3,6.7,23,73,930,218,70,1
6.2,7,19,69,991,227,70,1
6.7,5.6,34,42,772,201,71,1
6.2,7.5,27,77,913,190,69,1
6.1,8.2,20,83,989,224,69,1
6.2,8.1,36,90,989,208,69,1
6.4,6.3,28,82,890,202,71,1
6.3,7.6,25,69,919,197,69,1
6.6,6,35,52,846,195,71,1
6.3,7.8,41,89,924,205,69,1
6.6,7.5,28,87,1010,263,70,1
6.5,7.2,46,95,979,248,70,1
6.7,6.5,31,80,853,241,70,1
6.4,8.4,33,75,995,241,69,1
6.8,5.9,49,55,800,210,,1
6.3,7.8,35,83,903,225,,1
6.4,7.1,21,89,954,256,,1
6.5,7.2,36,90,984,247,,1
6.5,6.7,21,91,897,232,,1
6.6,7,20,71,945,246,,1
6.8,5.8,35,57,793,207,,1
6.3,7.7,33,80,,,,1
6.4,6.8,23,87,,,,1
6.6,7.1,37,92,,,,1
6.6,6.5,27,84,,,,1
6.5,6.3,25,69,,,,1
6.8,5.7,40,50,,,,1
6.3,7.9,40,108,,,,1
6.4,7,35,131,,,,1
6.3,8.1,45,119,,,,1
6.5,6.7,30,103,,,,1
6.4,7.1,30,110,,,,1
6.8,5.8,42,73,,,,1
6.5,8.7,29,100,,,,1
6.8,9.2,19,92,,,,1
6.7,9.2,30,100,,,,1
6.9,9.4,28,117,,,,1
6.8,9.8,19,83,,,,1
6.9,8,30,67,,,,1
6.8,7.1,31,87,,,,1
6.9,7.9,18,89,,,,1
6.8,7.1,37,98,,,,1
6.8,6.4,27,96,,,,1
6.8,6.9,21,71,,,,1
6.9,7.5,39,126,,,,1
6.9,7.6,30,100,,,,1
7.1,8.3,18,105,,,,1
7,8.5,35.5,109.5,,,,1
7.1,8,22.5,100,,,,1
6.9,7.9,19.5,89.5,,,,1
7.1,6.6,35.5,63,,,,1
5.9,6.4,36.5,110,,,,1
6.8,6.8,19.5,105,,,,1
6.8,8.4,40,135,,,,1
6.8,6.6,25.5,105,,,,1
6.7,6.7,19.5,100,,,,1
6.7,5,35,66.5,,,,1
6.6,5.9,31.5,120,,,,1
6.7,6.4,22,105,,,,1
6.7,6.4,35,135,,,,1
6.8,6.4,26.5,130,,,,1
6.7,6.5,19.5,110,,,,1
6.6,4.5,37,85,,,,1
6.3,7.1,34,130,1000,216,,1
6.5,7.6,23,140,1047,242,,1
6.5,8,44,185,1095,247,,1
6.6,7,28,150,950,221,,1
6.3,6.7,21,120,950,200,,1
6.1,5.6,36,105,800,161,,1
6,7.4,31,84,900,184,,1
6.3,6.8,23,94,950,219,,1
6.3,6.4,40,100,900,194,,1
6.4,6.7,28,89,950,205,,1
6.4,6.7,19,79,950,205,,1
5.9,7.6,42,63,800,126,,1
5.9,4.9,32,105,650,170,,1
5.9,5.1,21,124,650,180,,1
6.1,5.9,36,119,800,190,,1
6.2,5.3,26,105,700,180,,1
6,5.4,21,89,750,165,,1
5.9,3.6,41,79,500,105,,1
6.2,6,33,75,850,190,,1
6.2,6.3,22,75,900,190,,1
6.3,5.9,39,75,850,176,,1
6.4,5.6,27,70,800,171,,1
6.2,5.7,20,65,850,152,,1
6,3.9,32,45,600,90,,1
6.3,5.4,32.5,58,800,152,,1
5.9,5.5,19.5,66.5,800,164,,1
6.6,5.9,32.5,53.5,884,164,,1
6.3,5.8,26.5,58,842,168,,1
6.1,5.5,15.5,49,842,140,,1
6,3.9,30.5,31,589.5,100,,1
6.3,6.3,40,144,884,182,,1
6.4,6.1,29.5,112,842,195.5,,1
6.3,7.4,47.5,,968.5,200,,1
6.5,5.7,36,116,800,173.5,,1
6.2,6,26,80,884,169,,1
5.8,5.8,41,62,691,116,,1
6.3,,50,118,876,168,,1
6.4,,32.5,101,876,196,,1
6.3,,60,130.5,990.5,184,,1
6.5,,41.5,122,838,180,,1
6.1,,29,84,876,152,,1
5.9,,56.5,58,618,64,,1
6.5,,47.5,101,800,209.5,,1
6.6,,36,97,800,220,,1
6.5,,62.5,111,842,200,,1
6.8,,42.5,97,763.5,204,,1
6.3,,32,75.5,840,196,,1
5.9,,56.5,53.5,618,108,,1
6,6.2,30,88,699,152,69,1
6,7.6,54,162,890,184,69,1
6,6.9,47,167,805,153,69,1
6.3,6.6,51,168,765,139,69,1
6.1,7.4,32,121,898,171,69,1
5.9,7.8,49,100,860,103,68,1
6.4,,33.5,80,631.5,128,,1
6.2,,53.5,126.5,800,152,,1
6.5,,43.5,97,800,152,,1
6.6,,64,126.5,758,108,,1
6.2,,40,88.5,716,144,,1
6.1,,42.5,71,800,92,,1
5.3,8.90949,46,70,626,96,66,1
4.9,9.47115,59,57,365,36,64,1
4.9,9.75321,57,63,415,38,64,1
5,9.2991,41,64,527,60,65,1
5,11.2,61,92,424,48,63,1
5.3,11.1,68,99,410,53,63,1
5.1,9,51,81,470,49,65,1
5.4,10.5,42,85,522,54,64,1
5,9.9,41,58,407,65,,1
5,8.6,38,59,384,66,,1
5.1,8.2,30,54,534,75,,1
5.1,7.8,34,51,465,64,,1
5,9.9,41,58,407,65,,1
5,8.6,38,59,384,66,,1
5.1,8.2,30,54,534,75,,1
5.1,7.8,34,51,465,64,,1
5.5,8.8,37,93,598,90,66,1
5.7,6.9,44,109,685,95,68,1
5.4,7.2,27,97,527,91,67,1
5.5,8.5,30,114,751,103,67,1
5.4,,30.5,88.5,589.5,88,,1
5.8,,25,101,716,84,,1
5.5,,22.5,75.5,589.5,84,,1
5.9,,21.5,71,716,88,,1
4.4,,96.5,28,294.5,10,,1
4.8,,52,37.5,294.5,15,,1
5.3,,17.5,33,673.5,35,,1
5.1,,45,37.5,379,45,,1
5,,90.5,37.5,421,50,,1
5.3,,43.5,66,547.5,65,,1
5.3,,72.5,42.5,379,35,,1
4.8,,10,37.5,294.5,25,,1
5.1,,14,37.5,337,25,,1
